US States,Year,Ethnicity,Gender,Heart Disease Type,Age range,Data_Value/100_000 People
AK,1999.0,Black (Non-Hispanic),Overall,Coronary heart disease (CHD),Ages 35-64 years,127.2
AK,1999.0,Black (Non-Hispanic),Overall,Coronary heart disease (CHD),Ages 65 years and older,1937.9
AK,1999.0,Black (Non-Hispanic),Overall,Heart failure,Ages 35-64 years,37.666666666666664
AK,1999.0,Black (Non-Hispanic),Overall,Heart failure,Ages 65 years and older,2287.9
AK,1999.0,Hispanic,Overall,All heart disease,Ages 35-64 years,111.7
AK,1999.0,Hispanic,Overall,All heart disease,Ages 65 years and older,1871.4
AK,1999.0,Hispanic,Overall,All stroke,Ages 35-64 years,78.12
AK,1999.0,Hispanic,Overall,All stroke,Ages 65 years and older,978.9
AK,1999.0,Hispanic,Overall,Cardiovascular disease (CVD),Ages 35-64 years,172.4
AK,1999.0,Hispanic,Overall,Cardiovascular disease (CVD),Ages 65 years and older,2342.2
AK,1999.0,Hispanic,Overall,Coronary heart disease (CHD),Ages 35-64 years,211.8
AK,1999.0,Hispanic,Overall,Coronary heart disease (CHD),Ages 65 years and older,1734.5
AK,1999.0,Hispanic,Overall,Heart failure,Ages 35-64 years,32.2
AK,1999.0,Hispanic,Overall,Heart failure,Ages 65 years and older,562.4
AK,1999.0,Overall,Men,All heart disease,Ages 35-64 years,115.80499999999999
AK,1999.0,Overall,Men,All heart disease,Ages 65 years and older,1468.9454545454546
AK,1999.0,Overall,Men,All stroke,Ages 35-64 years,11.67
AK,1999.0,Overall,Men,All stroke,Ages 65 years and older,484.04545454545456
AK,1999.0,Overall,Men,Cardiovascular disease (CVD),Ages 35-64 years,124.975
AK,1999.0,Overall,Men,Cardiovascular disease (CVD),Ages 65 years and older,2154.318181818182
AK,1999.0,Overall,Men,Coronary heart disease (CHD),Ages 35-64 years,76.845
AK,1999.0,Overall,Men,Coronary heart disease (CHD),Ages 65 years and older,1067.081818181818
AK,1999.0,Overall,Men,Heart failure,Ages 35-64 years,20.875
AK,1999.0,Overall,Men,Heart failure,Ages 65 years and older,441.9818181818182
AK,1999.0,Overall,Overall,All heart disease,Ages 35-64 years,76.96190476190476
AK,1999.0,Overall,Overall,All heart disease,Ages 65 years and older,1312.16875
AK,1999.0,Overall,Overall,All stroke,Ages 35-64 years,18.228571428571428
AK,1999.0,Overall,Overall,All stroke,Ages 65 years and older,567.925
AK,1999.0,Overall,Overall,Cardiovascular disease (CVD),Ages 35-64 years,98.79047619047618
AK,1999.0,Overall,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1897.2625
AK,1999.0,Overall,Overall,Coronary heart disease (CHD),Ages 35-64 years,57.84761904761905
AK,1999.0,Overall,Overall,Coronary heart disease (CHD),Ages 65 years and older,827.0625
AK,1999.0,Overall,Overall,Heart failure,Ages 35-64 years,15.328571428571427
AK,1999.0,Overall,Overall,Heart failure,Ages 65 years and older,541.05625
AK,1999.0,Overall,Women,All heart disease,Ages 35-64 years,54.768421052631574
AK,1999.0,Overall,Women,All heart disease,Ages 65 years and older,1193.08
AK,1999.0,Overall,Women,All stroke,Ages 35-64 years,10.552631578947368
AK,1999.0,Overall,Women,All stroke,Ages 65 years and older,519.22
AK,1999.0,Overall,Women,Cardiovascular disease (CVD),Ages 35-64 years,62.5578947368421
AK,1999.0,Overall,Women,Cardiovascular disease (CVD),Ages 65 years and older,1750.78
AK,1999.0,Overall,Women,Coronary heart disease (CHD),Ages 35-64 years,34.07368421052632
AK,1999.0,Overall,Women,Coronary heart disease (CHD),Ages 65 years and older,623.8900000000001
AK,1999.0,Overall,Women,Heart failure,Ages 35-64 years,11.405263157894737
AK,1999.0,Overall,Women,Heart failure,Ages 65 years and older,522.05
AK,1999.0,White,Overall,All heart disease,Ages 35-64 years,94.66875
AK,1999.0,White,Overall,All heart disease,Ages 65 years and older,1342.31
AK,1999.0,White,Overall,All stroke,Ages 35-64 years,10.59375
AK,1999.0,White,Overall,All stroke,Ages 65 years and older,523.11
AK,1999.0,White,Overall,Cardiovascular disease (CVD),Ages 35-64 years,108.63125
AK,1999.0,White,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1906.27
AK,1999.0,White,Overall,Coronary heart disease (CHD),Ages 35-64 years,63.35625
AK,1999.0,White,Overall,Coronary heart disease (CHD),Ages 65 years and older,855.25
AK,1999.0,White,Overall,Heart failure,Ages 35-64 years,13.1375
AK,1999.0,White,Overall,Heart failure,Ages 65 years and older,477.96999999999997
AK,2000.0,American Indian/Alaska Native,Overall,All heart disease,Ages 35-64 years,97.82
AK,2000.0,American Indian/Alaska Native,Overall,All heart disease,Ages 65 years and older,1310.5333333333333
AK,2000.0,American Indian/Alaska Native,Overall,All stroke,Ages 35-64 years,25.546666666666667
AK,2000.0,American Indian/Alaska Native,Overall,All stroke,Ages 65 years and older,358.20000000000005
AK,2000.0,American Indian/Alaska Native,Overall,Cardiovascular disease (CVD),Ages 35-64 years,124.01333333333334
AK,2000.0,American Indian/Alaska Native,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1847.7444444444445
AK,2000.0,American Indian/Alaska Native,Overall,Coronary heart disease (CHD),Ages 35-64 years,47.16
AK,2000.0,American Indian/Alaska Native,Overall,Coronary heart disease (CHD),Ages 65 years and older,807.1666666666666
AK,2000.0,American Indian/Alaska Native,Overall,Heart failure,Ages 35-64 years,10.793333333333333
AK,2000.0,American Indian/Alaska Native,Overall,Heart failure,Ages 65 years and older,659.2444444444444
AK,2000.0,Asian/Pacific Islander,Overall,All heart disease,Ages 35-64 years,28.533333333333335
AK,2000.0,Asian/Pacific Islander,Overall,All heart disease,Ages 65 years and older,1365.8
AK,2000.0,Asian/Pacific Islander,Overall,All stroke,Ages 35-64 years,35.06666666666667
AK,2000.0,Asian/Pacific Islander,Overall,All stroke,Ages 65 years and older,213.1
AK,2000.0,Asian/Pacific Islander,Overall,Cardiovascular disease (CVD),Ages 35-64 years,73.16666666666667
AK,2000.0,Asian/Pacific Islander,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1687.3
AK,2000.0,Asian/Pacific Islander,Overall,Coronary heart disease (CHD),Ages 35-64 years,8.344444444444443
AK,2000.0,Asian/Pacific Islander,Overall,Coronary heart disease (CHD),Ages 65 years and older,342.1
AK,2000.0,Asian/Pacific Islander,Overall,Heart failure,Ages 35-64 years,12.61111111111111
AK,2000.0,Asian/Pacific Islander,Overall,Heart failure,Ages 65 years and older,137.4
AK,2000.0,Black (Non-Hispanic),Overall,All heart disease,Ages 35-64 years,261.1666666666667
AK,2000.0,Black (Non-Hispanic),Overall,All heart disease,Ages 65 years and older,1872.9
AK,2000.0,Black (Non-Hispanic),Overall,All stroke,Ages 35-64 years,78.2
AK,2000.0,Black (Non-Hispanic),Overall,All stroke,Ages 65 years and older,1109.6
AK,2000.0,Black (Non-Hispanic),Overall,Cardiovascular disease (CVD),Ages 35-64 years,276.4666666666667
AK,2000.0,Black (Non-Hispanic),Overall,Cardiovascular disease (CVD),Ages 65 years and older,2500.7
AK,2000.0,Black (Non-Hispanic),Overall,Coronary heart disease (CHD),Ages 35-64 years,155.5
AK,2000.0,Black (Non-Hispanic),Overall,Coronary heart disease (CHD),Ages 65 years and older,1833.7
AK,2000.0,Black (Non-Hispanic),Overall,Heart failure,Ages 35-64 years,48.56666666666666
AK,2000.0,Black (Non-Hispanic),Overall,Heart failure,Ages 65 years and older,954.5
AK,2000.0,Hispanic,Overall,All heart disease,Ages 35-64 years,49.06
AK,2000.0,Hispanic,Overall,All heart disease,Ages 65 years and older,1570.9
AK,2000.0,Hispanic,Overall,All stroke,Ages 35-64 years,13.559999999999999
AK,2000.0,Hispanic,Overall,All stroke,Ages 65 years and older,585.3
AK,2000.0,Hispanic,Overall,Cardiovascular disease (CVD),Ages 35-64 years,71.76
AK,2000.0,Hispanic,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1370.9
AK,2000.0,Hispanic,Overall,Coronary heart disease (CHD),Ages 35-64 years,90.92
AK,2000.0,Hispanic,Overall,Coronary heart disease (CHD),Ages 65 years and older,1280.8
AK,2000.0,Hispanic,Overall,Heart failure,Ages 35-64 years,17.06
AK,2000.0,Hispanic,Overall,Heart failure,Ages 65 years and older,849.4
AK,2000.0,Overall,Men,All heart disease,Ages 35-64 years,126.705
AK,2000.0,Overall,Men,All heart disease,Ages 65 years and older,1637.4
AK,2000.0,Overall,Men,All stroke,Ages 35-64 years,11.004999999999999
AK,2000.0,Overall,Men,All stroke,Ages 65 years and older,533.5272727272727
AK,2000.0,Overall,Men,Cardiovascular disease (CVD),Ages 35-64 years,140.885
AK,2000.0,Overall,Men,Cardiovascular disease (CVD),Ages 65 years and older,2342.7090909090907
AK,2000.0,Overall,Men,Coronary heart disease (CHD),Ages 35-64 years,86.755
AK,2000.0,Overall,Men,Coronary heart disease (CHD),Ages 65 years and older,1144.4636363636364
AK,2000.0,Overall,Men,Heart failure,Ages 35-64 years,13.275
AK,2000.0,Overall,Men,Heart failure,Ages 65 years and older,515.5545454545455
AK,2000.0,Overall,Overall,All heart disease,Ages 35-64 years,83.14285714285714
AK,2000.0,Overall,Overall,All heart disease,Ages 65 years and older,1419.275
AK,2000.0,Overall,Overall,All stroke,Ages 35-64 years,17.257142857142856
AK,2000.0,Overall,Overall,All stroke,Ages 65 years and older,428.90000000000003
AK,2000.0,Overall,Overall,Cardiovascular disease (CVD),Ages 35-64 years,114.9095238095238
AK,2000.0,Overall,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1918.1
AK,2000.0,Overall,Overall,Coronary heart disease (CHD),Ages 35-64 years,60.04761904761905
AK,2000.0,Overall,Overall,Coronary heart disease (CHD),Ages 65 years and older,887.5625
AK,2000.0,Overall,Overall,Heart failure,Ages 35-64 years,11.82857142857143
AK,2000.0,Overall,Overall,Heart failure,Ages 65 years and older,563.9625
AK,2000.0,Overall,Women,All heart disease,Ages 35-64 years,51.23157894736842
AK,2000.0,Overall,Women,All heart disease,Ages 65 years and older,1330.67
AK,2000.0,Overall,Women,All stroke,Ages 35-64 years,25.657894736842106
AK,2000.0,Overall,Women,All stroke,Ages 65 years and older,446.52
AK,2000.0,Overall,Women,Cardiovascular disease (CVD),Ages 35-64 years,76.7421052631579
AK,2000.0,Overall,Women,Cardiovascular disease (CVD),Ages 65 years and older,1838.4
AK,2000.0,Overall,Women,Coronary heart disease (CHD),Ages 35-64 years,35.06315789473685
AK,2000.0,Overall,Women,Coronary heart disease (CHD),Ages 65 years and older,791.5699999999999
AK,2000.0,Overall,Women,Heart failure,Ages 35-64 years,12.178947368421053
AK,2000.0,Overall,Women,Heart failure,Ages 65 years and older,503.66999999999996
AK,2000.0,White,Overall,All heart disease,Ages 35-64 years,103.825
AK,2000.0,White,Overall,All heart disease,Ages 65 years and older,1519.54
AK,2000.0,White,Overall,All stroke,Ages 35-64 years,10.075
AK,2000.0,White,Overall,All stroke,Ages 65 years and older,517.26
AK,2000.0,White,Overall,Cardiovascular disease (CVD),Ages 35-64 years,115.76875
AK,2000.0,White,Overall,Cardiovascular disease (CVD),Ages 65 years and older,2096.69
AK,2000.0,White,Overall,Coronary heart disease (CHD),Ages 35-64 years,73.5125
AK,2000.0,White,Overall,Coronary heart disease (CHD),Ages 65 years and older,1046.96
AK,2000.0,White,Overall,Heart failure,Ages 35-64 years,11.375
AK,2000.0,White,Overall,Heart failure,Ages 65 years and older,535.5
AK,2001.0,American Indian/Alaska Native,Overall,All heart disease,Ages 35-64 years,133.6
AK,2001.0,American Indian/Alaska Native,Overall,All heart disease,Ages 65 years and older,1572.288888888889
AK,2001.0,American Indian/Alaska Native,Overall,All stroke,Ages 35-64 years,38.3
AK,2001.0,American Indian/Alaska Native,Overall,All stroke,Ages 65 years and older,522.9666666666667
AK,2001.0,American Indian/Alaska Native,Overall,Cardiovascular disease (CVD),Ages 35-64 years,177.92666666666668
AK,2001.0,American Indian/Alaska Native,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1989.1333333333334
AK,2001.0,American Indian/Alaska Native,Overall,Coronary heart disease (CHD),Ages 35-64 years,76.74
AK,2001.0,American Indian/Alaska Native,Overall,Coronary heart disease (CHD),Ages 65 years and older,953.588888888889
AK,2001.0,American Indian/Alaska Native,Overall,Heart failure,Ages 35-64 years,8.96
AK,2001.0,American Indian/Alaska Native,Overall,Heart failure,Ages 65 years and older,374.8666666666667
AK,2001.0,Asian/Pacific Islander,Overall,All heart disease,Ages 35-64 years,73.69999999999999
AK,2001.0,Asian/Pacific Islander,Overall,All heart disease,Ages 65 years and older,704.3
AK,2001.0,Asian/Pacific Islander,Overall,All stroke,Ages 35-64 years,17.655555555555555
AK,2001.0,Asian/Pacific Islander,Overall,All stroke,Ages 65 years and older,299.1
AK,2001.0,Asian/Pacific Islander,Overall,Cardiovascular disease (CVD),Ages 35-64 years,81.64444444444445
AK,2001.0,Asian/Pacific Islander,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1075.9
AK,2001.0,Asian/Pacific Islander,Overall,Coronary heart disease (CHD),Ages 35-64 years,61.13333333333334
AK,2001.0,Asian/Pacific Islander,Overall,Coronary heart disease (CHD),Ages 65 years and older,648.6
AK,2001.0,Asian/Pacific Islander,Overall,Heart failure,Ages 35-64 years,5.566666666666666
AK,2001.0,Asian/Pacific Islander,Overall,Heart failure,Ages 65 years and older,110.4
AK,2001.0,Black (Non-Hispanic),Overall,All heart disease,Ages 35-64 years,103.33333333333333
AK,2001.0,Black (Non-Hispanic),Overall,All heart disease,Ages 65 years and older,1074.2
AK,2001.0,Black (Non-Hispanic),Overall,All stroke,Ages 35-64 years,27.46666666666667
AK,2001.0,Black (Non-Hispanic),Overall,All stroke,Ages 65 years and older,734.8
AK,2001.0,Black (Non-Hispanic),Overall,Cardiovascular disease (CVD),Ages 35-64 years,240.6
AK,2001.0,Black (Non-Hispanic),Overall,Cardiovascular disease (CVD),Ages 65 years and older,2078.0
AK,2001.0,Black (Non-Hispanic),Overall,Coronary heart disease (CHD),Ages 35-64 years,51.93333333333334
AK,2001.0,Black (Non-Hispanic),Overall,Coronary heart disease (CHD),Ages 65 years and older,689.7
AK,2001.0,Black (Non-Hispanic),Overall,Heart failure,Ages 35-64 years,12.033333333333333
AK,2001.0,Black (Non-Hispanic),Overall,Heart failure,Ages 65 years and older,777.1
AK,2001.0,Hispanic,Overall,All heart disease,Ages 35-64 years,81.75999999999999
AK,2001.0,Hispanic,Overall,All heart disease,Ages 65 years and older,1085.5
AK,2001.0,Hispanic,Overall,All stroke,Ages 35-64 years,2.08
AK,2001.0,Hispanic,Overall,All stroke,Ages 65 years and older,681.1
AK,2001.0,Hispanic,Overall,Cardiovascular disease (CVD),Ages 35-64 years,94.38
AK,2001.0,Hispanic,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1310.7
AK,2001.0,Hispanic,Overall,Coronary heart disease (CHD),Ages 35-64 years,38.62
AK,2001.0,Hispanic,Overall,Coronary heart disease (CHD),Ages 65 years and older,770.0
AK,2001.0,Hispanic,Overall,Heart failure,Ages 35-64 years,3.2600000000000002
AK,2001.0,Hispanic,Overall,Heart failure,Ages 65 years and older,297.9
AK,2001.0,Overall,Men,All heart disease,Ages 35-64 years,128.95
AK,2001.0,Overall,Men,All heart disease,Ages 65 years and older,1693.409090909091
AK,2001.0,Overall,Men,All stroke,Ages 35-64 years,8.73
AK,2001.0,Overall,Men,All stroke,Ages 65 years and older,464.43636363636364
AK,2001.0,Overall,Men,Cardiovascular disease (CVD),Ages 35-64 years,142.19
AK,2001.0,Overall,Men,Cardiovascular disease (CVD),Ages 65 years and older,2350.336363636364
AK,2001.0,Overall,Men,Coronary heart disease (CHD),Ages 35-64 years,75.53
AK,2001.0,Overall,Men,Coronary heart disease (CHD),Ages 65 years and older,1155.6000000000001
AK,2001.0,Overall,Men,Heart failure,Ages 35-64 years,5.29
AK,2001.0,Overall,Men,Heart failure,Ages 65 years and older,534.5818181818181
AK,2001.0,Overall,Overall,All heart disease,Ages 35-64 years,85.47619047619048
AK,2001.0,Overall,Overall,All heart disease,Ages 65 years and older,1276.7125
AK,2001.0,Overall,Overall,All stroke,Ages 35-64 years,19.195238095238096
AK,2001.0,Overall,Overall,All stroke,Ages 65 years and older,441.83125
AK,2001.0,Overall,Overall,Cardiovascular disease (CVD),Ages 35-64 years,131.44761904761904
AK,2001.0,Overall,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1865.8375
AK,2001.0,Overall,Overall,Coronary heart disease (CHD),Ages 35-64 years,61.12380952380952
AK,2001.0,Overall,Overall,Coronary heart disease (CHD),Ages 65 years and older,842.01875
AK,2001.0,Overall,Overall,Heart failure,Ages 35-64 years,3.9904761904761905
AK,2001.0,Overall,Overall,Heart failure,Ages 65 years and older,398.4625
AK,2001.0,Overall,Women,All heart disease,Ages 35-64 years,61.11578947368421
AK,2001.0,Overall,Women,All heart disease,Ages 65 years and older,1083.08
AK,2001.0,Overall,Women,All stroke,Ages 35-64 years,18.05263157894737
AK,2001.0,Overall,Women,All stroke,Ages 65 years and older,392.4
AK,2001.0,Overall,Women,Cardiovascular disease (CVD),Ages 35-64 years,76.78421052631579
AK,2001.0,Overall,Women,Cardiovascular disease (CVD),Ages 65 years and older,1619.35
AK,2001.0,Overall,Women,Coronary heart disease (CHD),Ages 35-64 years,18.468421052631577
AK,2001.0,Overall,Women,Coronary heart disease (CHD),Ages 65 years and older,614.9399999999999
AK,2001.0,Overall,Women,Heart failure,Ages 35-64 years,5.684210526315789
AK,2001.0,Overall,Women,Heart failure,Ages 65 years and older,382.25
AK,2001.0,White,Overall,All heart disease,Ages 35-64 years,94.775
AK,2001.0,White,Overall,All heart disease,Ages 65 years and older,1335.8700000000001
AK,2001.0,White,Overall,All stroke,Ages 35-64 years,10.03125
AK,2001.0,White,Overall,All stroke,Ages 65 years and older,378.82
AK,2001.0,White,Overall,Cardiovascular disease (CVD),Ages 35-64 years,113.55
AK,2001.0,White,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1902.9099999999999
AK,2001.0,White,Overall,Coronary heart disease (CHD),Ages 35-64 years,57.5125
AK,2001.0,White,Overall,Coronary heart disease (CHD),Ages 65 years and older,851.32
AK,2001.0,White,Overall,Heart failure,Ages 35-64 years,1.33125
AK,2001.0,White,Overall,Heart failure,Ages 65 years and older,432.41999999999996
AK,2002.0,American Indian/Alaska Native,Overall,All heart disease,Ages 35-64 years,116.94666666666667
AK,2002.0,American Indian/Alaska Native,Overall,All heart disease,Ages 65 years and older,1086.0111111111112
AK,2002.0,American Indian/Alaska Native,Overall,All stroke,Ages 35-64 years,32.973333333333336
AK,2002.0,American Indian/Alaska Native,Overall,All stroke,Ages 65 years and older,129.77777777777777
AK,2002.0,American Indian/Alaska Native,Overall,Cardiovascular disease (CVD),Ages 35-64 years,156.54666666666665
AK,2002.0,American Indian/Alaska Native,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1469.4222222222222
AK,2002.0,American Indian/Alaska Native,Overall,Coronary heart disease (CHD),Ages 35-64 years,94.94666666666667
AK,2002.0,American Indian/Alaska Native,Overall,Coronary heart disease (CHD),Ages 65 years and older,697.3888888888889
AK,2002.0,American Indian/Alaska Native,Overall,Heart failure,Ages 35-64 years,9.833333333333334
AK,2002.0,American Indian/Alaska Native,Overall,Heart failure,Ages 65 years and older,266.5111111111111
AK,2002.0,Asian/Pacific Islander,Overall,All heart disease,Ages 35-64 years,52.544444444444444
AK,2002.0,Asian/Pacific Islander,Overall,All heart disease,Ages 65 years and older,251.1
AK,2002.0,Asian/Pacific Islander,Overall,All stroke,Ages 35-64 years,6.222222222222222
AK,2002.0,Asian/Pacific Islander,Overall,All stroke,Ages 65 years and older,791.1
AK,2002.0,Asian/Pacific Islander,Overall,Cardiovascular disease (CVD),Ages 35-64 years,42.833333333333336
AK,2002.0,Asian/Pacific Islander,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1237.8
AK,2002.0,Asian/Pacific Islander,Overall,Coronary heart disease (CHD),Ages 35-64 years,21.544444444444444
AK,2002.0,Asian/Pacific Islander,Overall,Coronary heart disease (CHD),Ages 65 years and older,436.9
AK,2002.0,Asian/Pacific Islander,Overall,Heart failure,Ages 35-64 years,2.6333333333333333
AK,2002.0,Asian/Pacific Islander,Overall,Heart failure,Ages 65 years and older,66.7
AK,2002.0,Black (Non-Hispanic),Overall,All heart disease,Ages 35-64 years,171.70000000000002
AK,2002.0,Black (Non-Hispanic),Overall,All heart disease,Ages 65 years and older,2115.2
AK,2002.0,Black (Non-Hispanic),Overall,All stroke,Ages 35-64 years,51.86666666666667
AK,2002.0,Black (Non-Hispanic),Overall,All stroke,Ages 65 years and older,498.3
AK,2002.0,Black (Non-Hispanic),Overall,Cardiovascular disease (CVD),Ages 35-64 years,210.0666666666667
AK,2002.0,Black (Non-Hispanic),Overall,Cardiovascular disease (CVD),Ages 65 years and older,1943.6
AK,2002.0,Black (Non-Hispanic),Overall,Coronary heart disease (CHD),Ages 35-64 years,157.03333333333333
AK,2002.0,Black (Non-Hispanic),Overall,Coronary heart disease (CHD),Ages 65 years and older,440.6
AK,2002.0,Black (Non-Hispanic),Overall,Heart failure,Ages 35-64 years,40.666666666666664
AK,2002.0,Black (Non-Hispanic),Overall,Heart failure,Ages 65 years and older,228.1
AK,2002.0,Hispanic,Overall,All heart disease,Ages 35-64 years,35.44
AK,2002.0,Hispanic,Overall,All heart disease,Ages 65 years and older,724.9
AK,2002.0,Hispanic,Overall,All stroke,Ages 35-64 years,18.259999999999998
AK,2002.0,Hispanic,Overall,All stroke,Ages 65 years and older,547.0
AK,2002.0,Hispanic,Overall,Cardiovascular disease (CVD),Ages 35-64 years,33.1
AK,2002.0,Hispanic,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1290.9
AK,2002.0,Hispanic,Overall,Coronary heart disease (CHD),Ages 35-64 years,50.12
AK,2002.0,Hispanic,Overall,Coronary heart disease (CHD),Ages 65 years and older,800.1
AK,2002.0,Hispanic,Overall,Heart failure,Ages 35-64 years,6.9799999999999995
AK,2002.0,Hispanic,Overall,Heart failure,Ages 65 years and older,262.0
AK,2002.0,Overall,Men,All heart disease,Ages 35-64 years,144.98
AK,2002.0,Overall,Men,All heart disease,Ages 65 years and older,1464.290909090909
AK,2002.0,Overall,Men,All stroke,Ages 35-64 years,10.135
AK,2002.0,Overall,Men,All stroke,Ages 65 years and older,400.37272727272733
AK,2002.0,Overall,Men,Cardiovascular disease (CVD),Ages 35-64 years,151.25
AK,2002.0,Overall,Men,Cardiovascular disease (CVD),Ages 65 years and older,1992.0363636363638
AK,2002.0,Overall,Men,Coronary heart disease (CHD),Ages 35-64 years,97.53
AK,2002.0,Overall,Men,Coronary heart disease (CHD),Ages 65 years and older,1018.4818181818181
AK,2002.0,Overall,Men,Heart failure,Ages 35-64 years,6.08
AK,2002.0,Overall,Men,Heart failure,Ages 65 years and older,350.23636363636365
AK,2002.0,Overall,Overall,All heart disease,Ages 35-64 years,86.07619047619048
AK,2002.0,Overall,Overall,All heart disease,Ages 65 years and older,1132.55
AK,2002.0,Overall,Overall,All stroke,Ages 35-64 years,17.138095238095236
AK,2002.0,Overall,Overall,All stroke,Ages 65 years and older,314.95
AK,2002.0,Overall,Overall,Cardiovascular disease (CVD),Ages 35-64 years,121.47619047619048
AK,2002.0,Overall,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1569.55
AK,2002.0,Overall,Overall,Coronary heart disease (CHD),Ages 35-64 years,78.6
AK,2002.0,Overall,Overall,Coronary heart disease (CHD),Ages 65 years and older,694.96875
AK,2002.0,Overall,Overall,Heart failure,Ages 35-64 years,8.433333333333334
AK,2002.0,Overall,Overall,Heart failure,Ages 65 years and older,329.54375
AK,2002.0,Overall,Women,All heart disease,Ages 35-64 years,40.54736842105263
AK,2002.0,Overall,Women,All heart disease,Ages 65 years and older,865.1
AK,2002.0,Overall,Women,All stroke,Ages 35-64 years,11.88421052631579
AK,2002.0,Overall,Women,All stroke,Ages 65 years and older,425.08000000000004
AK,2002.0,Overall,Women,Cardiovascular disease (CVD),Ages 35-64 years,54.4421052631579
AK,2002.0,Overall,Women,Cardiovascular disease (CVD),Ages 65 years and older,1423.1299999999999
AK,2002.0,Overall,Women,Coronary heart disease (CHD),Ages 35-64 years,25.889473684210525
AK,2002.0,Overall,Women,Coronary heart disease (CHD),Ages 65 years and older,518.1899999999999
AK,2002.0,Overall,Women,Heart failure,Ages 35-64 years,7.93157894736842
AK,2002.0,Overall,Women,Heart failure,Ages 65 years and older,291.15
AK,2002.0,White,Overall,All heart disease,Ages 35-64 years,101.20625
AK,2002.0,White,Overall,All heart disease,Ages 65 years and older,1193.34
AK,2002.0,White,Overall,All stroke,Ages 35-64 years,9.63125
AK,2002.0,White,Overall,All stroke,Ages 65 years and older,436.78999999999996
AK,2002.0,White,Overall,Cardiovascular disease (CVD),Ages 35-64 years,116.525
AK,2002.0,White,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1727.23
AK,2002.0,White,Overall,Coronary heart disease (CHD),Ages 35-64 years,80.26875
AK,2002.0,White,Overall,Coronary heart disease (CHD),Ages 65 years and older,785.14
